step_n,E_lj,E_elec,E_total
100,1.2399404301142123 kJ mol^-1,-377.4135171392123 kJ mol^-1,-376.1735767090981 kJ mol^-1
200,8.596735445653524 kJ mol^-1,-398.03493276531015 kJ mol^-1,-389.43819731965664 kJ mol^-1
300,8.568669968426994 kJ mol^-1,-430.62656381800616 kJ mol^-1,-422.05789384957916 kJ mol^-1
400,13.253341026696948 kJ mol^-1,-470.1142880014806 kJ mol^-1,-456.86094697478364 kJ mol^-1
500,16.039466855674277 kJ mol^-1,-485.30867276070524 kJ mol^-1,-469.26920590503096 kJ mol^-1
600,1.8970377060402273 kJ mol^-1,-503.0065653533443 kJ mol^-1,-501.10952764730405 kJ mol^-1
700,1.0944325930532055 kJ mol^-1,-531.5524071089609 kJ mol^-1,-530.4579745159077 kJ mol^-1
800,4.164345575414749 kJ mol^-1,-549.5372409876231 kJ mol^-1,-545.3728954122084 kJ mol^-1
900,5.796542348667715 kJ mol^-1,-567.1014138636187 kJ mol^-1,-561.3048715149511 kJ mol^-1
1000,1.5983429675279823 kJ mol^-1,-577.4486239179978 kJ mol^-1,-575.8502809504698 kJ mol^-1
1100,-0.5544009550555903 kJ mol^-1,-594.2344995781734 kJ mol^-1,-594.788900533229 kJ mol^-1
1200,0.5208490049672527 kJ mol^-1,-606.5904797155131 kJ mol^-1,-606.0696307105459 kJ mol^-1
1300,0.3777233764446338 kJ mol^-1,-617.3600252805428 kJ mol^-1,-616.9823019040982 kJ mol^-1
1400,0.026593710803939685 kJ mol^-1,-623.3871194835265 kJ mol^-1,-623.3605257727226 kJ mol^-1
1500,-1.4942846437498085 kJ mol^-1,-627.6061925967758 kJ mol^-1,-629.1004772405256 kJ mol^-1
1600,2.361653920928692 kJ mol^-1,-657.9848027214923 kJ mol^-1,-655.6231488005636 kJ mol^-1
1700,4.806935927010613 kJ mol^-1,-664.164168530805 kJ mol^-1,-659.3572326037944 kJ mol^-1
1800,-0.25461875904337583 kJ mol^-1,-683.3124990756928 kJ mol^-1,-683.5671178347362 kJ mol^-1
